,name,time_start,lon,lat,level,type,province
168,Sạt lở đất tại Cà Mau,2022-07-01,105.24103,8.875037,0,Sạt lở đất,Ca Mau
169,Mưa kèm theo lốc tại Tiền Giang,2022-02-23,106.202626,10.420804,0,Lốc,Tien Giang
170,Động đất tại Quảng Nam,2022-02-23,108.102,15.002,0,Động đất,Quang Nam
171,"Mưa dông, lốc, sét tại Gia Lai",2022-04-23,107.894173,14.087789,0,"Dông lốc, sét, mưa đá",Gia Lai
172,Sạt lở đất tại Thái Nguyên,2022-02-21,105.554389,21.883148,0,Sạt lở đất,Thai Nguyen
173,Gió giật mạnh tại Cà Mau,2022-02-25,105.095354,8.69353,0,Lốc,Ca Mau
174,Động đất tại Kon Tum,2022-03-04,108.247,14.953,0,Động đất,Kon Tum
175,Động đất tại Kon Tum,2022-04-21,108.31,14.808,0,Động đất,Kon Tum
176,Động đất tại Kon Tum,2022-04-21,108.49,14.711,0,Động đất,Kon Tum
177,Sạt lở đất tại Cà Mau,2022-07-03,105.271775,9.069068,0,Sạt lở đất,Ca Mau
178,Động đất tại Kon Tum,2022-04-21,108.325,14.816,0,Động đất,Kon Tum
179,Động đất tại Kon Tum,2022-04-16,108.209,14.872,0,Động đất,Kon Tum
180,Động đất tại Kon Tum,2022-04-21,108.276,14.817,0,Động đất,Kon Tum
181,Động đất tại Kon Tum,2022-04-21,108.258,14.819,0,Động đất,Kon Tum
182,Lốc tại Cao Bằng,2022-07-04,106.525728,22.794371,0,Lốc,Cao Bang
183,Động đất tại Kon Tum (Trận 1),2022-04-22,108.232,14.854,0,Động đất,Kon Tum
184,Động đất tại Điện Biên,2022-04-22,103.425,22.024,0,Động đất,Đien Bien
185,Động đất tại Kon Tum (Trận 2),2022-04-22,108.244,14.853,0,Động đất,Kon Tum
186,Động đất tại Kon Tum,2022-04-23,108.257,14.832,0,Động đất,Kon Tum
187,Động đất tại Kon Tum,2022-04-24,108.244,14.853,0,Động đất,Kon Tum
188,Động đất tại Kon Tum,2022-04-24,108.15,14.898,0,Động đất,Kon Tum
189,Động đất tại Kon Tum,2022-04-26,108.362,14.749,0,Động đất,Kon Tum
190,Sét tại Quảng Trị,2022-04-25,107.277403,16.716908,0,Sét,Quang Tri
192,Động đất tại Kon Tum,2022-04-24,108.252,14.885,0,Động đất,Kon Tum
193,Sạt lở đất tại An Giang,2022-04-27,105.205876,10.578612,0,Sạt lở đất,An Giang
194,Mưa lớn tại Tuyên Quang,2022-04-30,105.397125,22.356055,0,Mưa lớn,Tuyen Quang
195,Sạt lở đất tại An Giang,2022-07-05,105.212532,10.495074,0,Sạt lở đất,An Giang
196,Động đất tại Kon Tum,2022-04-25,108.182,14.886,0,Động đất,Kon Tum
197,Động đất tại Kon Tum,2022-04-25,108.267,14.863,0,Động đất,Kon Tum
198,Ngập lụt tại Bình Thuận,2022-04-30,108.104726,11.128255,0,Ngập lụt,Binh Thuan
199,Động đất tại Kon Tum,2022-04-27,108.273,14.808,0,Động đất,Kon Tum
200,Mưa lớn Tại Yên Bái,2022-04-30,104.761188,22.108579,0,Mưa lớn,Yen Bai
201,Động đất tại Kon Tum,2022-04-25,108.228,14.844,0,Động đất,Kon Tum
202,Động đất tại Kon Tum,2022-04-27,108.228,14.838,0,Động đất,Kon Tum
203,Động đất tại Kon Tum,2022-04-26,108.352,14.741,0,Động đất,Kon Tum
204,Động đất tại Kon Tum,2022-04-28,108.157,14.815,0,Động đất,Kon Tum
205,Mưa lớn tại Hà Tĩnh,2022-04-30,106.29001,18.066074,0,Mưa lớn,Ha Tinh
206,Mưa lớn kèm gió mạnh tại Thái Nguyên,2022-04-30,106.010084,21.736382,0,Mưa lớn,Thai Nguyen
207,Động đất tại Kon Tum,2022-05-09,108.149,14.886,0,Động đất,Kon Tum
208,Động đất tại Kon Tum,2022-05-06,108.206,14.862,0,Động đất,Kon Tum
209,Mưa lớn kèm gió mạnh tại Quảng Trị,2022-04-30,106.988296,17.011715,0,Mưa lớn,Quang Tri
210,Lốc tại Tuyên Quang,2022-07-05,105.408573,22.357287,0,Lốc,Tuyen Quang
211,Động đất tại Kon Tum,2022-05-06,108.202,14.853,0,Động đất,Kon Tum
212,Lốc tại Tây Ninh,2022-04-28,106.292742,11.612625,0,Lốc,Tay Ninh
213,Mưa kèm gió lớn tại Quảng Bình,2022-04-30,106.752817,17.121044,0,Mưa lớn,Quang Binh
214,Sạt lở đất tại Cà Mau,2022-07-05,105.112219,8.828567,0,Sạt lở đất,Ca Mau
215,Lốc tại Bạc Liêu,2022-05-03,105.459458,9.449136,0,Lốc,Bac Lieu
216,Sét tại Bạc Liêu,2022-05-03,105.657985,9.210501,0,Sét,Bac Lieu
217,Mưa lớn tại Tây Ninh,2022-05-04,106.357315,11.043031,0,Mưa lớn,Tay Ninh
218,Mưa lớn tại Bắc Kạn,2022-04-30,105.596015,22.159847,0,Mưa lớn,Bac Kan
219,Mưa kèm theo lốc tại Tây Ninh,2022-05-27,106.137957,11.293456,0,Lốc,Tay Ninh
220,Sạt lở đất tại An Giang,2022-07-04,105.16478,10.534249,0,Sạt lở đất,An Giang
221,Sạt lở đất tại Cà Mau,2022-07-04,105.303752,8.885402,0,Sạt lở đất,Ca Mau
222,Động đất tại Kon Tum,2022-05-08,108.129,14.938,0,Động đất,Kon Tum
223,Động đất tại Kon Tum,2022-05-06,108.245,14.856,0,Động đất,Kon Tum
224,"Mưa lớn gây lũ, ngập úng tại Hà Giang",2022-05-07,105.022769,22.489094,0,Lũ,Ha Giang
225,Ngập lụt tại Tây Ninh,2022-05-05,106.389385,11.081274,0,Ngập lụt,Tay Ninh
226,Động đất tại Kon Tum,2022-05-09,108.289,14.821,0,Động đất,Kon Tum
227,Động đất tại Kon Tum,2022-05-09,108.234,14.859,0,Động đất,Kon Tum
228,Động đất tại Kon Tum,2022-07-06,108.249,14.836,0,Động đất,Kon Tum
